"time","latitude","longitude","val"
1,50.37167,-4.142361,6.19166666666667
1,50.411463,-4.227678,6.42916666666667
1,50.735454,-1.780888,10.25
1,50.73957,-1.826744,9.29166666666667
1,50.805778,0.271611,5.99166666666667
1,50.82881,-1.068583,4.64166666666667
1,50.90814,-1.395778,6.00416666666667
1,51.074793,-4.041924,5.57916666666667
1,51.374264,0.54797,10.875
1,51.425286,-0.345606,4.32916666666667
1,51.45258,0.070766,7.30833333333333
1,51.46603,0.184806,5.35
1,51.48178,-3.17625,5.64166666666667
1,51.48879,-0.441614,4.432
1,51.52105,-0.213492,4.65408333333333
1,51.52229,-0.125889,5.775
1,51.52253,-0.154611,7.82083333333333
1,51.54421,-0.175269,4.14583333333333
1,51.58395,-3.770822,9.84583333333333
1,51.632696,-3.947374,8.91666666666667
1,51.638094,-2.678731,3.84166666666667
1,52.132417,-0.300306,4.725
1,52.272257,-0.916605,6
1,52.28881,-1.533119,3.8625
1,52.294884,-1.542911,6.35416666666667
1,52.411563,-1.560228,6.4
1,52.437165,-1.829999,3.62916666666667
1,52.47609,-1.875024,3.16675
1,52.614193,1.301976,4.20833333333333
1,52.619823,-1.127311,3.14583333333333
1,52.95473,-1.146447,4.81666666666667
1,53.02821,-2.175133,2.73333333333333
1,53.231722,-1.456944,1.9375
1,53.244131,-1.454946,3.6875
1,53.34633,-2.844333,5.37083333333333
1,53.37287,-3.022722,4.47916666666667
1,53.378622,-1.478096,3.94504166666667
1,53.38928,-2.615358,7.575
1,53.40495,-1.455815,6.29166666666667
1,53.48481,-2.334139,5.575
1,53.54914,-2.638139,6.05833333333333
1,53.74878,-0.341222,5.89583333333333
1,53.76559,-2.680353,5.55833333333333
1,53.80378,-1.546472,5.68333333333333
1,53.80489,-3.007175,4.7375
1,53.819972,-1.576361,4.725
1,53.951889,-1.075861,5.7125
1,53.967513,-1.086514,6.2625
1,54.516667,-1.358547,6.66666666666667
1,54.565819,-1.3159,4.49166666666667
1,54.569297,-1.220874,4.25416666666667
1,54.59965,-5.928833,6.4
1,54.88361,-1.406878,3.27083333333333
1,54.894834,-2.945307,3.90833333333333
1,54.97825,-1.610528,2.87083333333333
1,55.002818,-7.331179,4.875
1,55.79216,-3.2429,1.79583333333333
1,55.860936,-4.238214,3.05
1,55.865782,-4.243631,4.74108333333333
1,55.944079,-4.734421,2.76991666666667
1,55.945589,-3.182186,4.05
1,56.010319,-3.704399,2.68333333333333
1,57.15736,-2.094278,3.2125
2,50.37167,-4.142361,9.70833333333333
2,50.411463,-4.227678,9.12916666666667
2,50.735454,-1.780888,14.6666666666667
2,50.73957,-1.826744,12.5
2,50.805778,0.271611,7.92083333333333
2,50.82881,-1.068583,7.25416666666667
2,50.90814,-1.395778,6.77916666666667
2,51.074793,-4.041924,7.3375
2,51.374264,0.54797,9.95833333333333
2,51.425286,-0.345606,5.20416666666667
2,51.45258,0.070766,8.10416666666667
2,51.46603,0.184806,7.69583333333333
2,51.48178,-3.17625,9.07083333333333
2,51.48879,-0.441614,7.43466666666667
2,51.52105,-0.213492,7.63754166666667
